Server,Scan_ParsedFaction,Row,Column
511,341,33,8
2644,2623,33,28
3468,2216,1,28
2618,341,34,9
4069,2216,34,27
3407,770,27,1
4091,4091,7,1
913,770,28,34
1577,1508,6,2
2569,2287,28,2
2619,1508,6,34
650,1508,5,33
1952,184,5,3
2287,2287,29,3
2696,770,29,33
1519,184,4,4
2196,2287,30,4
2317,836,4,32
3355,3355,30,32
930,836,3,31
1368,3355,31,31
1494,1494,3,5
1559,2287,31,5
2,0,2,6
1717,1717,32,6
3602,836,2,30
4065,3385,32,30
591,341,1,7
1809,836,1,29
2624,341,33,7
2750,2623,33,29
1088,2216,34,28
3345,341,34,8
82,1508,6,1
2176,770,28,1
1389,1508,5,34
4056,2287,29,2
4084,1508,5,2
6006,770,29,34
1414,184,4,3
2570,2287,30,3
2973,770,30,33
3537,2842,4,33
78,2842,3,32
3005,1721,31,32
4062,2287,31,4
4080,184,3,4
1033,341,2,5
4076,836,2,31
5032,1721,32,31
5033,2287,32,5
546,546,33,30
1145,1145,1,30
1453,341,1,6
2444,341,33,6
1412,341,34,7
1636,2288,34,29
285,1508,5,1
5027,770,29,1
1816,2287,30,2
2474,1721,30,34
3627,184,4,2
6009,1508,4,34
791,2287,31,3
1802,1721,31,33
2311,2842,3,33
2862,184,3,3
312,312,2,4
1002,2287,32,4
2404,1721,32,32
2685,2842,2,32
1471,3355,33,31
1621,1621,33,5
2784,341,1,5
3001,2842,1,31
2084,2084,34,30
4072,341,34,6
184,184,4,1
3053,2287,30,1
1363,184,3,2
1721,1721,31,34
2653,2287,31,2
4079,2842,3,34
319,2287,32,3
1332,1721,32,33
1529,2842,2,33
2556,184,2,3
884,2842,1,32
929,929,33,4
3086,3355,33,32
3422,3422,1,4
950,950,34,31
1095,341,34,5
2925,184,3,1
3408,1721,31,1
1762,1721,32,2
2842,2842,2,34
4066,2842,32,34
5038,184,2,2
992,992,33,3
2818,2818,1,3
3323,1721,33,33
5036,2842,1,33
2542,2542,34,4
4070,2842,34,32
174,1721,32,1
2085,2842,2,1
1219,2842,1,2
2022,2842,33,34
2147,2842,1,34
2218,2218,33,2
1138,1138,34,3
2843,2842,34,33
2817,2842,1,1
3541,1721,33,1
3054,2842,34,34
4071,2842,34,2
1280,2842,34,1
