Server,Scan_ParsedFaction,Row,Column
2862,2862,3,3
312,341,2,4
1002,2287,32,4
2404,2404,32,32
2685,836,2,32
1471,1471,33,31
1621,341,33,5
2784,341,1,5
3001,836,1,31
2084,2084,34,30
4072,341,34,6
184,1508,4,1
3053,770,30,1
1363,1343,3,2
1721,2842,31,34
2653,2287,31,2
4079,2842,3,34
319,2287,32,3
1332,2842,32,33
1529,2842,2,33
2556,2556,2,3
884,2842,1,32
929,2287,33,4
3086,2842,33,32
3422,341,1,4
950,2842,34,31
1095,341,34,5
2925,2842,3,1
3408,2287,31,1
1762,2287,32,2
2842,2842,2,34
4066,2842,32,34
5038,5038,2,2
992,2287,33,3
2818,2842,1,3
3323,2842,33,33
5036,2842,1,33
2542,341,34,4
4070,2842,34,32
174,2842,32,1
2085,2842,2,1
1219,2842,1,2
2022,2842,33,34
2147,2842,1,34
2218,2842,33,2
1138,2842,34,3
2843,2842,34,33
2817,2842,1,1
3541,2842,33,1
3054,2842,34,34
4071,2842,34,2
1280,2842,34,1
